SUMLEV,REGION,DIVISION,STATE,NAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023,POPESTIMATE2024,NPOPCHG_2020,NPOPCHG_2021,NPOPCHG_2022,NPOPCHG_2023,NPOPCHG_2024,BIRTHS2020,BIRTHS2021,BIRTHS2022,BIRTHS2023,BIRTHS2024,DEATHS2020,DEATHS2021,DEATHS2022,DEATHS2023,DEATHS2024,NATURALCHG2020,NATURALCHG2021,NATURALCHG2022,NATURALCHG2023,NATURALCHG2024,INTERNATIONALMIG2020,INTERNATIONALMIG2021,INTERNATIONALMIG2022,INTERNATIONALMIG2023,INTERNATIONALMIG2024,DOMESTICMIG2020,DOMESTICMIG2021,DOMESTICMIG2022,DOMESTICMIG2023,DOMESTICMIG2024,NETMIG2020,NETMIG2021,NETMIG2022,NETMIG2023,NETMIG2024,RESIDUAL2020,RESIDUAL2021,RESIDUAL2022,RESIDUAL2023,RESIDUAL2024,RBIRTH2021,RBIRTH2022,RBIRTH2023,RBIRTH2024,RDEATH2021,RDEATH2022,RDEATH2023,RDEATH2024,RNATURALCHG2021,RNATURALCHG2022,RNATURALCHG2023,RNATURALCHG2024,RINTERNATIONALMIG2021,RINTERNATIONALMIG2022,RINTERNATIONALMIG2023,RINTERNATIONALMIG2024,RDOMESTICMIG2021,RDOMESTICMIG2022,RDOMESTICMIG2023,RDOMESTICMIG2024,RNETMIG2021,RNETMIG2022,RNETMIG2023,RNETMIG2024
10,0,0,0,United States,331515736,331577720,332099760,334017321,336806231,340110988,61984,522040,1917561,2788910,3304757,894123,3584459,3680380,3648896,3605563,852024,3438423,3456354,3154285,3086925,42099,146036,224026,494611,518638,19885,376004,1693535,2294299,2786119,0,0,0,0,0,19885,376004,1693535,2294299,2786119,0,0,0,0,0,10.80180994,11.05024959,10.87885477,10.65289196,10.36172871,10.37761708,9.404216625,9.120539154,0.440081227,0.672632504,1.474638148,1.532352806,1.133092538,5.084796797,6.840245824,8.231786463,0,0,0,0,1.133092538,5.084796797,6.840245824,8.231786463
20,1,0,0,Northeast Region,57617706,57431458,57252533,57159597,57398303,57832935,-186248,-178925,-92936,238706,434632,146099,572866,589061,580016,574868,193352,560739,564177,527913,515524,-47253,12127,24884,52103,59344,4430,80445,332834,468264,567420,-132548,-268038,-447635,-278245,-192109,-128118,-187593,-114801,190019,375311,-10877,-3459,-3019,-3416,-23,9.990339454,10.29717741,10.12616328,9.977641653,9.778853964,9.862188563,9.216527188,8.947643173,0.21148549,0.434988843,0.909636088,1.02999848,1.402898509,5.818159316,8.175149859,9.848371151,-4.674375171,-7.824957022,-4.857718237,-3.334321549,-3.271476661,-2.006797706,3.317431622,6.514049602
30,1,1,0,New England,15122011,15057350,15118145,15175633,15263573,15386085,-64661,60795,57488,87940,122512,35418,139200,144784,142434,140809,46219,143868,149599,143299,141865,-10801,-4668,-4815,-865,-1056,1563,26729,110315,121836,147466,-47186,36464,-44792,-31474,-24138,-45623,63193,65523,90362,123328,-8237,2270,-3220,-1557,240,9.226029267,9.558662508,9.358588394,9.188291758,9.535419386,9.876549567,9.415422991,9.257199542,-0.309390119,-0.317887059,-0.056834597,-0.068907784,1.771569944,7.283013693,8.005202238,9.62268486,2.416795483,-2.957174902,-2.067990867,-1.575090985,4.188365427,4.325838791,5.937211371,8.047593875
30,1,2,0,Middle Atlantic,42495695,42374108,42134388,41983964,42134730,42446850,-121587,-239720,-150424,150766,312120,110681,433666,444277,437582,434059,147133,416871,414578,384614,373659,-36452,16795,29699,52968,60400,2867,53716,222519,346428,419954,-85362,-304502,-402843,-246771,-167971,-82495,-250786,-180324,99657,251983,-2640,-5729,201,-1859,-263,10.26325211,10.56314085,10.40391806,10.2636768,9.865777282,9.857016695,9.144554717,8.835469851,0.397474829,0.706124152,1.259363347,1.428206945,1.271256798,5.290617201,8.236647136,9.930152641,-7.206423364,-9.578005047,-5.867209493,-3.971810411,-5.935166566,-4.287387846,2.369437643,5.95834223
20,2,0,0,Midwest Region,68998970,68984258,68872831,68903297,69186401,69596584,-14712,-111427,30466,283104,410183,190124,748075,754499,744941,735023,186112,762351,771066,700950,682282,4012,-14276,-16567,43991,52741,3077,55284,243973,335497,406737,-34544,-172519,-182537,-89787,-49214,-31467,-117235,61436,245710,357523,12743,20084,-14403,-6597,-81,10.85290579,10.95253599,10.78923353,10.592408,11.06001883,11.19302758,10.15209694,9.832358052,-0.207113034,-0.240491589,0.637136595,0.760049944,0.802047982,3.541585956,4.859117007,5.861482227,-2.502867299,-2.649762374,-1.300415618,-0.709222388,-1.700819317,0.891823582,3.558701388,5.152259839
30,2,3,0,East North Central,47381362,47358568,47206851,47199092,47360185,47619171,-22794,-151717,-7759,161093,258986,127370,500691,504380,496713,490386,133427,530365,537354,485487,471455,-6057,-29674,-32974,11226,18931,1990,36997,180613,243928,295939,-28083,-172440,-144956,-89430,-55753,-26093,-135443,35657,154498,240186,9356,13400,-10442,-4631,-131,10.58930432,10.68534425,10.50585444,10.32615972,11.21689103,11.38390197,10.26841608,9.927525725,-0.627586708,-0.698557717,0.237438364,0.398633994,0.782463619,3.826305723,5.159261106,6.231648907,-3.646999121,-3.070908364,-1.891511924,-1.174002485,-2.864535502,0.755397359,3.267749181,5.057646422
30,2,4,0,West North Central,21617608,21625690,21665980,21704205,21826216,21977413,8082,40290,38225,122011,151197,62754,247384,250119,248228,244637,52685,231986,233712,215463,210827,10069,15398,16407,32765,33810,1087,18287,63360,91569,110798,-6461,-79,-37581,-357,6539,-5374,18208,25779,91212,117337,3387,6684,-3961,-1966,50,11.42871134,11.53414494,11.40480585,11.16971382,10.71735047,10.77754222,9.899421832,9.626006101,0.711360869,0.756602721,1.505384016,1.543707714,0.844827654,2.921822907,4.207126782,5.058850261,-0.003649663,-1.73303388,-0.016402322,0.298559738,0.841177991,1.188789026,4.190724459,5.357409999
20,3,0,0,South Region,126281537,126476549,127368010,129037849,130893358,132665693,195012,891461,1669839,1855509,1772335,348216,1426583,1480458,1487989,1471082,314436,1404454,1415095,1268885,1252515,33780,22129,65363,219104,218567,8958,155224,732105,946164,1144168,157428,719421,849097,678977,411004,166386,874645,1581202,1625141,1555172,-5154,-5313,23274,11264,-1404,11.23981547,11.54777044,11.44909853,11.16320608,11.06546467,11.0379303,9.763237086,9.504625208,0.174350792,0.509840144,1.685861444,1.65858087,1.222984653,5.710516935,7.280110849,8.68244134,5.668201066,6.623070185,5.224282285,3.118876005,6.89118572,12.33358712,12.50439313,11.80131735
30,3,5,0,South Atlantic,66097951,66176865,66680852,67657171,68684308,69676509,78914,503987,976319,1027137,992201,172106,699222,727841,727232,719506,168589,727660,744487,673173,664810,3517,-28438,-16646,54059,54696,6020,97731,461544,580015,699317,78647,441651,514124,384683,238782,84667,539382,975668,964698,938099,-9270,-6957,17297,8380,-594,10.52587709,10.83596414,10.66780272,10.40043006,10.95397417,11.08378676,9.874808531,9.609801596,-0.428097075,-0.247822614,0.792994185,0.790628462,1.471212997,6.871382944,8.508269153,10.10859888,6.648480946,7.6541844,5.642934239,3.451584129,8.119693943,14.52556734,14.15120339,13.56018301
30,3,6,0,East South Central,19405296,19427852,19469728,19599570,19759744,19916866,22556,41876,129842,160174,157122,54199,223014,227419,229206,226871,56539,258535,260718,231425,228121,-2340,-35521,-33299,-2219,-1250,519,7303,45639,67480,81630,23562,67560,115904,94055,76859,24081,74863,161543,161535,158489,815,2534,1598,858,-117,11.46672878,11.64182679,11.64684933,11.43600726,13.29311489,13.34643894,11.75960536,11.49901668,-1.826386115,-1.704612148,-0.11275603,-0.063009415,0.375498939,2.336310215,3.428921551,4.114766861,3.473737955,5.933252243,4.779300777,3.874272525,3.849236893,8.269562458,8.208222328,7.989039386
30,3,7,0,West South Central,40778290,40871832,41217430,41781108,42449306,43072318,93542,345598,563678,668198,623012,121911,504347,525198,531551,524705,89308,418259,409890,364287,359584,32603,86088,115308,167264,165121,2419,50190,224922,298669,363221,55219,210210,219069,200239,95363,57638,260400,443991,498908,458584,3301,-890,4379,2026,-693,12.28777035,12.65559642,12.62135551,12.27069776,10.19034621,9.877041449,8.649773465,8.409194849,2.097424143,2.778554967,3.971582046,3.861502911,1.222815233,5.419902698,7.091713927,8.494249361,5.121498108,5.278864069,4.754553385,2.230149418,6.34431334,10.69876677,11.84626731,10.72439878
20,4,0,0,West Region,78617523,78685455,78606386,78916578,79328169,80015776,67932,-79069,310192,411591,687607,209684,836935,856362,835950,824590,158124,710879,706016,656537,636604,51560,126056,150346,179413,187986,3420,85051,384623,544374,667794,9664,-278864,-218925,-310945,-169681,13084,-193813,165698,233429,498113,3288,-11312,-5852,-1251,1508,10.64181072,10.8728528,10.56527962,10.34981279,9.03898124,8.963975564,8.297741473,7.99031303,1.602829482,1.908877235,2.267538145,2.35949976,1.08144198,4.883389574,6.880152553,8.381793234,-3.545816467,-2.779594726,-3.92992508,-2.129745187,-2.464374487,2.103794847,2.950227473,6.252048046
30,4,8,0,Mountain,24928392,25008240,25284332,25557868,25840606,26167683,79848,276092,273536,282738,327077,68923,277185,282774,280187,279433,54811,241187,250145,222973,220262,14112,35998,32629,57214,59171,1020,21404,89017,152105,185644,65476,218375,150629,74310,81480,66496,239779,239646,226415,267124,-760,315,1261,-891,782,11.02290016,11.12359418,10.90254158,10.74571017,9.591356752,9.840054128,8.676249805,8.470265192,1.43154341,1.283540051,2.226291777,2.275444978,0.851179375,3.501697409,5.918658208,7.13901586,8.684185013,5.925353348,2.891525534,3.133346686,9.535364387,9.427050757,8.810183742,10.27236255
30,4,9,0,Pacific,53689131,53677215,53322054,53358710,53487563,53848093,-11916,-355161,36656,128853,360530,140761,559750,573588,555763,545157,103313,469692,455871,433564,416342,37448,90058,117717,122199,128815,2400,63647,295606,392269,482150,-55812,-497239,-369554,-385255,-251161,-53412,-433592,-73948,7014,230989,4048,-11627,-7113,-360,726,10.4626883,10.75335381,10.40303952,10.15798515,8.779349698,8.54645173,8.115659776,7.75775759,1.683338603,2.20690208,2.287379739,2.400227563,1.189671679,5.541880071,7.342680076,8.98396708,-9.294250412,-6.928221849,-7.211388646,-4.679917361,-8.104578733,-1.386341778,0.13129143,4.304049719
40,3,6,1,Alabama,5025369,5033094,5049196,5076181,5117673,5157699,7725,16102,26985,41492,40026,13867,57184,58103,58528,57541,15146,69134,67246,60059,59273,-1279,-11950,-9143,-1531,-1732,133,1804,8155,12995,15763,9757,25175,28226,29946,26028,9890,26979,36381,42941,41791,-886,1073,-253,82,-33,11.34345471,11.47670847,11.4829975,11.19978917,13.71394792,13.28266592,11.78337457,11.53690591,-2.370493211,-1.805957447,-0.30037707,-0.337116749,0.35785521,1.61080422,2.54957546,3.068112765,4.993905155,5.575298579,5.875304865,5.066093958,5.351760364,7.186102799,8.424880325,8.134206723
40,4,9,2,Alaska,733395,733017,734420,734442,736510,740133,-378,1403,22,2068,3623,2406,9454,9359,9132,9014,1169,5333,6388,5597,5642,1237,4121,2971,3535,3372,65,873,2818,3391,4029,-1634,-3438,-5832,-4886,-3774,-1569,-2565,-3014,-1495,255,-46,-153,65,28,-4,12.8850506,12.74319848,12.41644867,12.20877355,7.268455136,8.697889931,7.610037581,7.641657462,5.616595465,4.045308545,4.806411086,4.567116087,1.189829615,3.836984005,4.610619517,5.456972335,-4.68572075,-7.940841277,-6.643316709,-5.111594339,-3.495891135,-4.103857272,-2.032697192,0.345377996
