"Year","Month","CPI","Percentage_Interest_Rate"
1999,"Jan",164.3,NA
1999,"Feb",164.5,0.121728545343869
1999,"Mar",165,0.303951367781163
1999,"Apr",166.2,0.72727272727271
1999,"May",166.2,0
1999,"Jun",166.2,0
1999,"Jul",166.7,0.300842358604081
1999,"Aug",167.1,0.239952009598077
1999,"Sep",167.9,0.478755236385409
1999,"Oct",168.2,0.178677784395465
1999,"Nov",168.3,0.0594530321046616
1999,"Dec",168.3,0
2000,"Jan",168.8,NA
2000,"Feb",169.8,0.592417061611372
2000,"Mar",171.2,0.824499411071833
2000,"Apr",171.3,0.0584112149532912
2000,"May",171.5,0.116754232340921
2000,"Jun",172.4,0.524781341107872
2000,"Jul",172.8,0.232018561484915
2000,"Aug",172.8,0
2000,"Sep",173.7,0.520833333333326
2000,"Oct",174,0.17271157167531
2000,"Nov",174.1,0.0574712643678144
2000,"Dec",174,-0.0574382538770735
2001,"Jan",175.1,NA
2001,"Feb",175.8,0.399771559109086
2001,"Mar",176.2,0.227531285551752
2001,"Apr",176.9,0.3972758229285
2001,"May",177.7,0.452232899943472
2001,"Jun",178,0.168823860438949
2001,"Jul",177.5,-0.28089887640449
2001,"Aug",177.5,0
2001,"Sep",178.3,0.450704225352117
2001,"Oct",177.7,-0.336511497476177
2001,"Nov",177.4,-0.168823860438927
2001,"Dec",176.7,-0.394588500563708
2002,"Jan",177.1,NA
2002,"Feb",177.8,0.395256916996067
2002,"Mar",178.8,0.562429696287969
2002,"Apr",179.8,0.559284116331105
2002,"May",179.8,0
2002,"Jun",179.9,0.0556173526140125
2002,"Jul",180.1,0.111172873818788
2002,"Aug",180.7,0.333148250971682
2002,"Sep",181,0.166021029330388
2002,"Oct",181.3,0.165745856353605
2002,"Nov",181.3,0
2002,"Dec",180.9,-0.220628792057365
2003,"Jan",181.7,NA
2003,"Feb",183.1,0.770500825536602
2003,"Mar",184.2,0.600764609503002
2003,"Apr",183.8,-0.21715526601519
2003,"May",183.5,-0.163220892274218
2003,"Jun",183.7,0.108991825613081
2003,"Jul",183.9,0.108873162765377
2003,"Aug",184.6,0.380641653072322
2003,"Sep",185.2,0.325027085590457
2003,"Oct",185,-0.10799136069114
2003,"Nov",184.5,-0.270270270270268
2003,"Dec",184.3,-0.108401084010834
2004,"Jan",185.2,NA
2004,"Feb",186.2,0.539956803455732
2004,"Mar",187.4,0.644468313641244
2004,"Apr",188,0.320170757737448
2004,"May",189.1,0.585106382978728
2004,"Jun",189.7,0.317292437863559
2004,"Jul",189.4,-0.158144438587238
2004,"Aug",189.5,0.0527983104540608
2004,"Sep",189.9,0.211081794195245
2004,"Oct",190.9,0.526592943654558
2004,"Nov",191,0.052383446830806
2004,"Dec",190.3,-0.366492146596853
2005,"Jan",190.7,NA
2005,"Feb",191.8,0.576822233875207
2005,"Mar",193.3,0.782064650677783
2005,"Apr",194.6,0.672529746507999
2005,"May",194.4,-0.102774922918802
2005,"Jun",194.5,0.0514403292181109
2005,"Jul",195.4,0.46272493573265
2005,"Aug",196.4,0.511770726714422
2005,"Sep",198.8,1.22199592668024
2005,"Oct",199.2,0.201207243460755
2005,"Nov",197.6,-0.803212851405621
2005,"Dec",196.8,-0.404858299595134
2006,"Jan",198.3,NA
2006,"Feb",198.7,0.201714573877942
2006,"Mar",199.8,0.553598389531973
2006,"Apr",201.5,0.850850850850837
2006,"May",202.5,0.496277915632759
2006,"Jun",202.9,0.197530864197537
2006,"Jul",203.5,0.295712173484475
2006,"Aug",203.9,0.196560196560203
2006,"Sep",202.9,-0.490436488474744
2006,"Oct",201.8,-0.54213898472153
2006,"Nov",201.5,-0.14866204162538
2006,"Dec",201.8,0.148883374689834
2007,"Jan",202.416,NA
2007,"Feb",203.499,0.535036755987672
2007,"Mar",205.352,0.910569585108534
2007,"Apr",206.686,0.649616268650899
2007,"May",207.949,0.61107186747047
2007,"Jun",208.352,0.193797517660577
2007,"Jul",208.299,-0.0254377207802192
2007,"Aug",207.917,-0.183390222708701
2007,"Sep",208.49,0.275590740535891
2007,"Oct",208.936,0.213919132812124
2007,"Nov",210.177,0.593961787341568
2007,"Dec",210.036,-0.0670863129647814
2008,"Jan",211.08,NA
2008,"Feb",211.693,0.290411218495357
2008,"Mar",213.528,0.866821293098963
2008,"Apr",214.823,0.606477838971942
2008,"May",216.632,0.842088603175628
2008,"Jun",218.815,1.00769969348942
2008,"Jul",219.964,0.525101112812187
2008,"Aug",219.086,-0.399156225564179
2008,"Sep",218.783,-0.138301854066447
2008,"Oct",216.573,-1.01013332845787
2008,"Nov",212.425,-1.91528953285959
2008,"Dec",210.228,-1.03424738142874
2009,"Jan",211.143,NA
2009,"Feb",212.193,0.497293303590474
2009,"Mar",212.709,0.243174845541549
2009,"Apr",213.24,0.24963682777881
2009,"May",213.856,0.288876383417747
2009,"Jun",215.693,0.858989226395335
2009,"Jul",215.351,-0.158558692215327
2009,"Aug",215.834,0.224285004481062
2009,"Sep",215.969,0.0625480693495994
2009,"Oct",216.177,0.0963101185818438
2009,"Nov",216.33,0.0707753368767383
2009,"Dec",215.949,-0.17611981694633
2010,"Jan",216.687,NA
2010,"Feb",216.741,0.0249207382076566
2010,"Mar",217.631,0.410628353657128
2010,"Apr",218.009,0.173688491069734
2010,"May",218.178,0.0775197354237811
2010,"Jun",217.965,-0.097626708467391
2010,"Jul",218.011,0.0211043057371629
2010,"Aug",218.312,0.138066427840799
2010,"Sep",218.439,0.0581736230715668
2010,"Oct",218.711,0.124519888847696
2010,"Nov",218.803,0.0420646423819449
2010,"Dec",219.179,0.171844078920302
2011,"Jan",220.223,NA
2011,"Feb",221.309,0.493136502545144
2011,"Mar",223.467,0.97510720305094
2011,"Apr",224.906,0.643942953545706
