State,First Year,Last Year,Injury Intent,Race / Ethnicity,Gender,Total Deaths (#),"Age-adjusted Rate (per 100,000)"
Alabama,2019,2023,All Firearm Deaths,All Races/Ethnicities,All Genders,6102,24.7
Alabama,2019,2023,All Firearm Deaths,All Races/Ethnicities,Male,5142,42.9
Alabama,2019,2023,All Firearm Deaths,All Races/Ethnicities,Female,960,7.6
Alabama,2019,2023,All Firearm Deaths,non-Hispanic Black,All Genders,2686,40.5
Alabama,2019,2023,All Firearm Deaths,non-Hispanic Black,Male,2358,75.7
Alabama,2019,2023,All Firearm Deaths,non-Hispanic Black,Female,328,9.3
Alabama,2019,2023,All Firearm Deaths,non-Hispanic white,All Genders,3237,18.8
Alabama,2019,2023,All Firearm Deaths,non-Hispanic white,Male,2631,31.2
Alabama,2019,2023,All Firearm Deaths,non-Hispanic white,Female,606,7.2
Alabama,2019,2023,All Firearm Deaths,Latinx,All Genders,120,10.8
Alabama,2019,2023,All Firearm Deaths,Latinx,Male,105,17.4
Alabama,2019,2023,All Firearm Deaths,Latinx,Female,15,
Alabama,2019,2023,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),All Genders,11,
Alabama,2019,2023,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),Male,,
Alabama,2019,2023,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),Female,,
Alabama,2019,2023,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),All Genders,23,5.6
Alabama,2019,2023,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),Male,21,10.7
Alabama,2019,2023,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),Female,,
Alabama,2019,2023,All Firearm Deaths,More than one race,All Genders,23,6.6
Alabama,2019,2023,All Firearm Deaths,More than one race,Male,17,
Alabama,2019,2023,All Firearm Deaths,More than one race,Female,,
Alabama,2019,2023,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,All Genders,2991,12.8
Alabama,2019,2023,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,Male,2544,22.1
Alabama,2019,2023,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,Female,447,3.7
Alabama,2019,2023,Firearm Homicide (including Legal Intervention),non-Hispanic Black,All Genders,2245,33.8
Alabama,2019,2023,Firearm Homicide (including Legal Intervention),non-Hispanic Black,Male,1966,62.9
Alabama,2019,2023,Firearm Homicide (including Legal Intervention),non-Hispanic Black,Female,279,7.9
Alabama,2019,2023,Firearm Homicide (including Legal Intervention),non-Hispanic white,All Genders,659,4.3
Alabama,2019,2023,Firearm Homicide (including Legal Intervention),non-Hispanic white,Male,502,6.6
Alabama,2019,2023,Firearm Homicide (including Legal Intervention),non-Hispanic white,Female,157,2.1
Alabama,2019,2023,Firearm Homicide (including Legal Intervention),Latinx,All Genders,68,5.9
Alabama,2019,2023,Firearm Homicide (including Legal Intervention),Latinx,Male,61,10.0
Alabama,2019,2023,Firearm Homicide (including Legal Intervention),Latinx,Female,,
Alabama,2019,2023,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),All Genders,,
Alabama,2019,2023,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),Male,,
Alabama,2019,2023,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),Female,,
Alabama,2019,2023,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),All Genders,,
Alabama,2019,2023,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),Male,,
Alabama,2019,2023,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),Female,,
Alabama,2019,2023,Firearm Homicide (including Legal Intervention),More than one race,All Genders,,
Alabama,2019,2023,Firearm Homicide (including Legal Intervention),More than one race,Male,,
Alabama,2019,2023,Firearm Homicide (including Legal Intervention),More than one race,Female,,
Alabama,2019,2023,Firearm Suicide,All Races/Ethnicities,All Genders,2940,11.2
Alabama,2019,2023,Firearm Suicide,All Races/Ethnicities,Male,2456,19.7
Alabama,2019,2023,Firearm Suicide,All Races/Ethnicities,Female,484,3.6
Alabama,2019,2023,Firearm Suicide,non-Hispanic Black,All Genders,377,5.7
Alabama,2019,2023,Firearm Suicide,non-Hispanic Black,Male,336,11.0
Alabama,2019,2023,Firearm Suicide,non-Hispanic Black,Female,41,1.1
Alabama,2019,2023,Firearm Suicide,non-Hispanic white,All Genders,2481,13.9
Alabama,2019,2023,Firearm Suicide,non-Hispanic white,Male,2051,23.7
Alabama,2019,2023,Firearm Suicide,non-Hispanic white,Female,430,4.9
Alabama,2019,2023,Firearm Suicide,Latinx,All Genders,45,4.2
Alabama,2019,2023,Firearm Suicide,Latinx,Male,38,6.6
Alabama,2019,2023,Firearm Suicide,Latinx,Female,,
Alabama,2019,2023,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),All Genders,,
Alabama,2019,2023,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),Male,,
Alabama,2019,2023,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),Female,,
Alabama,2019,2023,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),All Genders,15,
Alabama,2019,2023,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),Male,15,
Alabama,2019,2023,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),Female,0,
Alabama,2019,2023,Firearm Suicide,More than one race,All Genders,14,
Alabama,2019,2023,Firearm Suicide,More than one race,Male,10,
Alabama,2019,2023,Firearm Suicide,More than one race,Female,,
Alaska,2019,2023,All Firearm Deaths,All Races/Ethnicities,All Genders,876,23.9
Alaska,2019,2023,All Firearm Deaths,All Races/Ethnicities,Male,726,37.7
Alaska,2019,2023,All Firearm Deaths,All Races/Ethnicities,Female,150,8.6
Alaska,2019,2023,All Firearm Deaths,non-Hispanic Black,All Genders,28,22.0
Alaska,2019,2023,All Firearm Deaths,non-Hispanic Black,Male,22,27.3
Alaska,2019,2023,All Firearm Deaths,non-Hispanic Black,Female,,
Alaska,2019,2023,All Firearm Deaths,non-Hispanic white,All Genders,469,20.7
Alaska,2019,2023,All Firearm Deaths,non-Hispanic white,Male,398,32.7
Alaska,2019,2023,All Firearm Deaths,non-Hispanic white,Female,71,6.8
Alaska,2019,2023,All Firearm Deaths,Latinx,All Genders,45,15.6
Alaska,2019,2023,All Firearm Deaths,Latinx,Male,37,23.6
Alaska,2019,2023,All Firearm Deaths,Latinx,Female,,
Alaska,2019,2023,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),All Genders,221,40.3
Alaska,2019,2023,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),Male,178,63.6
Alaska,2019,2023,All Firearm Deaths,American Indian/Alaska Native (non-Hispanic),Female,43,16.2
Alaska,2019,2023,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),All Genders,40,12.8
Alaska,2019,2023,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),Male,31,21.0
Alaska,2019,2023,All Firearm Deaths,Asian/Pacific Islander (non-Hispanic),Female,,
Alaska,2019,2023,All Firearm Deaths,More than one race,All Genders,65,29.8
Alaska,2019,2023,All Firearm Deaths,More than one race,Male,54,54.5
Alaska,2019,2023,All Firearm Deaths,More than one race,Female,11,
Alaska,2019,2023,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,All Genders,212,5.8
Alaska,2019,2023,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,Male,153,7.8
Alaska,2019,2023,Firearm Homicide (including Legal Intervention),All Races/Ethnicities,Female,59,3.4
Alaska,2019,2023,Firearm Homicide (including Legal Intervention),non-Hispanic Black,All Genders,17,
Alaska,2019,2023,Firearm Homicide (including Legal Intervention),non-Hispanic Black,Male,15,
Alaska,2019,2023,Firearm Homicide (including Legal Intervention),non-Hispanic Black,Female,,
Alaska,2019,2023,Firearm Homicide (including Legal Intervention),non-Hispanic white,All Genders,76,3.4
Alaska,2019,2023,Firearm Homicide (including Legal Intervention),non-Hispanic white,Male,51,4.3
Alaska,2019,2023,Firearm Homicide (including Legal Intervention),non-Hispanic white,Female,25,2.3
Alaska,2019,2023,Firearm Homicide (including Legal Intervention),Latinx,All Genders,16,
Alaska,2019,2023,Firearm Homicide (including Legal Intervention),Latinx,Male,12,
Alaska,2019,2023,Firearm Homicide (including Legal Intervention),Latinx,Female,,
Alaska,2019,2023,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),All Genders,64,12.2
Alaska,2019,2023,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),Male,50,18.6
Alaska,2019,2023,Firearm Homicide (including Legal Intervention),American Indian/Alaska Native (non-Hispanic),Female,14,
Alaska,2019,2023,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),All Genders,18,
Alaska,2019,2023,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),Male,13,
Alaska,2019,2023,Firearm Homicide (including Legal Intervention),Asian/Pacific Islander (non-Hispanic),Female,,
Alaska,2019,2023,Firearm Homicide (including Legal Intervention),More than one race,All Genders,19,
Alaska,2019,2023,Firearm Homicide (including Legal Intervention),More than one race,Male,12,
Alaska,2019,2023,Firearm Homicide (including Legal Intervention),More than one race,Female,,
Alaska,2019,2023,Firearm Suicide,All Races/Ethnicities,All Genders,626,17.1
Alaska,2019,2023,Firearm Suicide,All Races/Ethnicities,Male,540,28.2
Alaska,2019,2023,Firearm Suicide,All Races/Ethnicities,Female,86,4.9
Alaska,2019,2023,Firearm Suicide,non-Hispanic Black,All Genders,10,
Alaska,2019,2023,Firearm Suicide,non-Hispanic Black,Male,,
Alaska,2019,2023,Firearm Suicide,non-Hispanic Black,Female,,
Alaska,2019,2023,Firearm Suicide,non-Hispanic white,All Genders,373,16.3
Alaska,2019,2023,Firearm Suicide,non-Hispanic white,Male,328,26.7
Alaska,2019,2023,Firearm Suicide,non-Hispanic white,Female,45,4.3
Alaska,2019,2023,Firearm Suicide,Latinx,All Genders,26,9.2
Alaska,2019,2023,Firearm Suicide,Latinx,Male,24,15.2
Alaska,2019,2023,Firearm Suicide,Latinx,Female,,
Alaska,2019,2023,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),All Genders,146,26.2
Alaska,2019,2023,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),Male,119,42.0
Alaska,2019,2023,Firearm Suicide,American Indian/Alaska Native (non-Hispanic),Female,27,10.1
Alaska,2019,2023,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),All Genders,21,6.9
Alaska,2019,2023,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),Male,17,
Alaska,2019,2023,Firearm Suicide,Asian/Pacific Islander (non-Hispanic),Female,,
Alaska,2019,2023,Firearm Suicide,More than one race,All Genders,44,21.8
Alaska,2019,2023,Firearm Suicide,More than one race,Male,40,43.8
Alaska,2019,2023,Firearm Suicide,More than one race,Female,,
Arizona,2019,2023,All Firearm Deaths,All Races/Ethnicities,All Genders,6720,17.8
Arizona,2019,2023,All Firearm Deaths,All Races/Ethnicities,Male,5735,30.3
