"Year","Month","CPI"
1999,"Jan",164.3
2000,"Jan",168.8
2001,"Jan",175.1
2002,"Jan",177.1
2003,"Jan",181.7
2004,"Jan",185.2
2005,"Jan",190.7
2006,"Jan",198.3
2007,"Jan",202.416
2008,"Jan",211.08
2009,"Jan",211.143
2010,"Jan",216.687
2011,"Jan",220.223
2012,"Jan",226.665
2013,"Jan",230.28
2014,"Jan",233.916
2015,"Jan",233.707
2016,"Jan",236.916
2017,"Jan",242.839
2018,"Jan",247.867
2019,"Jan",251.712
2020,"Jan",257.971
2021,"Jan",261.582
2022,"Jan",281.148
2023,"Jan",299.17
2024,"Jan",308.417
1999,"Feb",164.5
2000,"Feb",169.8
2001,"Feb",175.8
2002,"Feb",177.8
2003,"Feb",183.1
2004,"Feb",186.2
2005,"Feb",191.8
2006,"Feb",198.7
2007,"Feb",203.499
2008,"Feb",211.693
2009,"Feb",212.193
2010,"Feb",216.741
2011,"Feb",221.309
2012,"Feb",227.663
2013,"Feb",232.166
2014,"Feb",234.781
2015,"Feb",234.722
2016,"Feb",237.111
2017,"Feb",243.603
2018,"Feb",248.991
2019,"Feb",252.776
2020,"Feb",258.678
2021,"Feb",263.014
2022,"Feb",283.716
2023,"Feb",300.84
2024,"Feb",310.326
1999,"Mar",165
2000,"Mar",171.2
2001,"Mar",176.2
2002,"Mar",178.8
2003,"Mar",184.2
2004,"Mar",187.4
2005,"Mar",193.3
2006,"Mar",199.8
2007,"Mar",205.352
2008,"Mar",213.528
2009,"Mar",212.709
2010,"Mar",217.631
2011,"Mar",223.467
2012,"Mar",229.392
2013,"Mar",232.773
2014,"Mar",236.293
2015,"Mar",236.119
2016,"Mar",238.132
2017,"Mar",243.801
2018,"Mar",249.554
2019,"Mar",254.202
2020,"Mar",258.115
2021,"Mar",264.877
2022,"Mar",287.504
2023,"Mar",301.836
2024,"Mar",312.332
1999,"Apr",166.2
2000,"Apr",171.3
2001,"Apr",176.9
2002,"Apr",179.8
2003,"Apr",183.8
2004,"Apr",188
2005,"Apr",194.6
2006,"Apr",201.5
2007,"Apr",206.686
2008,"Apr",214.823
2009,"Apr",213.24
2010,"Apr",218.009
2011,"Apr",224.906
2012,"Apr",230.085
2013,"Apr",232.531
2014,"Apr",237.072
2015,"Apr",236.599
2016,"Apr",239.261
2017,"Apr",244.524
2018,"Apr",250.546
2019,"Apr",255.548
2020,"Apr",256.389
2021,"Apr",267.054
2022,"Apr",289.109
2023,"Apr",303.363
2024,"Apr",313.548
1999,"May",166.2
2000,"May",171.5
2001,"May",177.7
2002,"May",179.8
2003,"May",183.5
2004,"May",189.1
2005,"May",194.4
2006,"May",202.5
2007,"May",207.949
2008,"May",216.632
2009,"May",213.856
2010,"May",218.178
2011,"May",225.964
2012,"May",229.815
2013,"May",232.945
2014,"May",237.9
2015,"May",237.805
2016,"May",240.229
2017,"May",244.733
2018,"May",251.588
2019,"May",256.092
2020,"May",256.394
2021,"May",269.195
2022,"May",292.296
2023,"May",304.127
2024,"May",314.069
1999,"Jun",166.2
2000,"Jun",172.4
2001,"Jun",178
2002,"Jun",179.9
2003,"Jun",183.7
2004,"Jun",189.7
2005,"Jun",194.5
2006,"Jun",202.9
2007,"Jun",208.352
2008,"Jun",218.815
2009,"Jun",215.693
2010,"Jun",217.965
2011,"Jun",225.722
2012,"Jun",229.478
2013,"Jun",233.504
2014,"Jun",238.343
2015,"Jun",238.638
2016,"Jun",241.018
2017,"Jun",244.955
2018,"Jun",251.989
2019,"Jun",256.143
2020,"Jun",257.797
2021,"Jun",271.696
2022,"Jun",296.311
2023,"Jun",305.109
2024,"Jun",314.175
1999,"Jul",166.7
2000,"Jul",172.8
2001,"Jul",177.5
2002,"Jul",180.1
2003,"Jul",183.9
2004,"Jul",189.4
2005,"Jul",195.4
2006,"Jul",203.5
2007,"Jul",208.299
2008,"Jul",219.964
2009,"Jul",215.351
2010,"Jul",218.011
2011,"Jul",225.922
2012,"Jul",229.104
2013,"Jul",233.596
2014,"Jul",238.25
2015,"Jul",238.654
2016,"Jul",240.628
2017,"Jul",244.786
2018,"Jul",252.006
2019,"Jul",256.571
2020,"Jul",259.101
2021,"Jul",273.003
2022,"Jul",296.276
2023,"Jul",305.691
2024,"Jul",314.54
1999,"Aug",167.1
2000,"Aug",172.8
2001,"Aug",177.5
2002,"Aug",180.7
2003,"Aug",184.6
2004,"Aug",189.5
2005,"Aug",196.4
2006,"Aug",203.9
2007,"Aug",207.917
2008,"Aug",219.086
2009,"Aug",215.834
2010,"Aug",218.312
2011,"Aug",226.545
2012,"Aug",230.379
2013,"Aug",233.877
2014,"Aug",237.852
2015,"Aug",238.316
2016,"Aug",240.849
2017,"Aug",245.519
2018,"Aug",252.146
2019,"Aug",256.558
2020,"Aug",259.918
2021,"Aug",273.567
2022,"Aug",296.171
2023,"Aug",307.026
2024,"Aug",314.796
1999,"Sep",167.9
2000,"Sep",173.7
2001,"Sep",178.3
2002,"Sep",181
2003,"Sep",185.2
2004,"Sep",189.9
2005,"Sep",198.8
2006,"Sep",202.9
2007,"Sep",208.49
2008,"Sep",218.783
2009,"Sep",215.969
2010,"Sep",218.439
2011,"Sep",226.889
2012,"Sep",231.407
2013,"Sep",234.149
2014,"Sep",238.031
2015,"Sep",237.945
2016,"Sep",241.428
2017,"Sep",246.819
2018,"Sep",252.439
2019,"Sep",256.759
2020,"Sep",260.28
2021,"Sep",274.31
2022,"Sep",296.808
2023,"Sep",307.789
2024,"Sep",315.301
1999,"Oct",168.2
2000,"Oct",174
2001,"Oct",177.7
2002,"Oct",181.3
2003,"Oct",185
2004,"Oct",190.9
2005,"Oct",199.2
2006,"Oct",201.8
2007,"Oct",208.936
2008,"Oct",216.573
2009,"Oct",216.177
2010,"Oct",218.711
2011,"Oct",226.421
2012,"Oct",231.317
2013,"Oct",233.546
2014,"Oct",237.433
2015,"Oct",237.838
2016,"Oct",241.729
2017,"Oct",246.663
2018,"Oct",252.885
2019,"Oct",257.346
2020,"Oct",260.388
2021,"Oct",276.589
2022,"Oct",298.012
2023,"Oct",307.671
2024,"Oct",315.664
1999,"Nov",168.3
2000,"Nov",174.1
2001,"Nov",177.4
2002,"Nov",181.3
2003,"Nov",184.5
2004,"Nov",191
2005,"Nov",197.6
2006,"Nov",201.5
2007,"Nov",210.177
2008,"Nov",212.425
2009,"Nov",216.33
2010,"Nov",218.803
2011,"Nov",226.23
2012,"Nov",230.221
2013,"Nov",233.069
2014,"Nov",236.151
2015,"Nov",237.336
2016,"Nov",241.353
2017,"Nov",246.669
2018,"Nov",252.038
